JASLEF010000044.1_3	1111732.AZOD01000007_gene459	1.78e-136	399.0	COG1044@1|root,COG1044@2|Bacteria,1MUX6@1224|Proteobacteria,1RNYI@1236|Gammaproteobacteria,1X2Y9@135614|Xanthomonadales	135614|Xanthomonadales	I	Catalyzes the N-acylation of UDP-3-O-acylglucosamine using 3-hydroxyacyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxD	-	2.3.1.191	ko:K02536	ko00540,ko01100,map00540,map01100	M00060	R04550	RC00039,RC00166	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	Hexapep,Hexapep_2,LpxD
JASLEF010000044.1_5	1111732.AZOD01000007_gene461	2.38e-148	422.0	COG1043@1|root,COG1043@2|Bacteria,1MUHQ@1224|Proteobacteria,1RPHB@1236|Gammaproteobacteria,1X4NK@135614|Xanthomonadales	135614|Xanthomonadales	I	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxA	-	2.3.1.129	ko:K00677	ko00540,ko01100,ko01503,map00540,map01100,map01503	M00060	R04567	RC00039,RC00055	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	Acetyltransf_11,Hexapep
JASLEF010000044.1_6	1111732.AZOD01000007_gene462	3.4e-185	526.0	COG0763@1|root,COG0763@2|Bacteria,1MVBI@1224|Proteobacteria,1RNS1@1236|Gammaproteobacteria,1X349@135614|Xanthomonadales	135614|Xanthomonadales	M	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxB	GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008289,GO:0008610,GO:0008654,GO:0009058,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0019637,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0046467,GO:0046493,GO:0071704,GO:0090407,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901576,GO:1903509	2.4.1.182	ko:K00748	ko00540,ko01100,map00540,map01100	M00060	R04606	RC00005,RC00059	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005	-	GT19	-	LpxB
JASLEF010000146.1_8	1111732.AZOD01000011_gene526	1.4e-85	255.0	COG2077@1|root,COG2077@2|Bacteria,1RAJ9@1224|Proteobacteria,1S263@1236|Gammaproteobacteria,1X6I6@135614|Xanthomonadales	135614|Xanthomonadales	O	Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides	tpx	-	1.11.1.15	ko:K11065	-	-	-	-	ko00000,ko01000	-	-	-	Redoxin
JASLEF010000054.1_4	1111732.AZOD01000018_gene311	5.52e-200	557.0	COG0859@1|root,COG0859@2|Bacteria,1MYZA@1224|Proteobacteria,1RPMN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	lipopolysaccharide heptosyltransferase I	rfaC	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0008713,GO:0008920,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016740,GO:0016757,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046401,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	-	ko:K02841	ko00540,ko01100,map00540,map01100	M00080	-	-	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005	-	GT9	iB21_1397.B21_03429,iECBD_1354.ECBD_0105,iECB_1328.ECB_03478,iECD_1391.ECD_03478,iECNA114_1301.ECNA114_3774,iECSF_1327.ECSF_3456,iSF_1195.SF3661,iS_1188.S4107	Glyco_transf_9
JASLEF010000119.1_7	589873.EP13_17695	6.48e-39	142.0	COG0748@1|root,COG0748@2|Bacteria,1RFVC@1224|Proteobacteria,1S3AV@1236|Gammaproteobacteria,4687W@72275|Alteromonadaceae	1236|Gammaproteobacteria	P	Pyridoxamine 5'-phosphate oxidase	-	-	-	ko:K07226	-	-	-	-	ko00000	-	-	-	DUF2470,Putative_PNPOx,Pyrid_oxidase_2
JASLEF010000148.1_11	1123502.AQXD01000002_gene235	4.92e-34	126.0	COG3117@1|root,COG3117@2|Bacteria	2|Bacteria	P	lipopolysaccharide transmembrane transporter activity	lptC	GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006869,GO:0008150,GO:0010876,GO:0015920,GO:0016020,GO:0016021,GO:0017089,GO:0030288,GO:0030313,GO:0031224,GO:0031226,GO:0031975,GO:0033036,GO:0042597,GO:0042802,GO:0044425,GO:0044459,GO:0044464,GO:0046836,GO:0051179,GO:0051234,GO:0071702,GO:0071944,GO:1901264	-	ko:K02040,ko:K11719	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	1.B.42.1,3.A.1.7	-	iB21_1397.B21_03015,iECBD_1354.ECBD_0543,iECB_1328.ECB_03064,iECD_1391.ECD_03064	LptC
JASLEF010000148.1_12	1111732.AZOD01000016_gene206	9.56e-71	218.0	COG1934@1|root,COG1934@2|Bacteria	2|Bacteria	S	lipopolysaccharide binding	lptA	-	-	ko:K09774	-	-	-	-	ko00000,ko02000	1.B.42.1	-	-	OstA
JASLEF010000189.1_3	1111732.AZOD01000007_gene453	2.54e-113	330.0	COG0020@1|root,COG0020@2|Bacteria,1MVP1@1224|Proteobacteria,1RMVX@1236|Gammaproteobacteria,1X31M@135614|Xanthomonadales	135614|Xanthomonadales	I	Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with (2E,6E)-farnesyl diphosphate (E,E-FPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-undecaprenyl diphosphate (di-trans,octa-cis-UPP). UPP is the precursor of glycosyl carrier lipid in the biosynthesis of bacterial cell wall polysaccharide components such as peptidoglycan and lipopolysaccharide	uppS	GO:0002094,GO:0003674,GO:0003824,GO:0004659,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006066,GO:0006629,GO:0006720,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016093,GO:0016094,GO:0016740,GO:0016765,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046165,GO:0071704,GO:1901576,GO:1901615,GO:1901617	2.5.1.31	ko:K00806	ko00900,ko01110,map00900,map01110	-	R06447	RC00279,RC02839	ko00000,ko00001,ko01000,ko01006	-	-	-	Prenyltransf
JASLEF010000169.1_4	1111732.AZOD01000023_gene1863	1.59e-209	583.0	COG1858@1|root,COG1858@2|Bacteria,1MV70@1224|Proteobacteria,1RPPQ@1236|Gammaproteobacteria,1X493@135614|Xanthomonadales	135614|Xanthomonadales	P	cytochrome c peroxidase	-	-	1.11.1.5	ko:K00428	-	-	-	-	ko00000,ko01000	-	-	-	CCP_MauG,Cytochrom_C
JASLEF010000057.1_2	1111732.AZOD01000018_gene275	2.61e-78	248.0	COG3562@1|root,COG3562@2|Bacteria,1MUZT@1224|Proteobacteria,1RRSW@1236|Gammaproteobacteria,1X6ZD@135614|Xanthomonadales	135614|Xanthomonadales	M	Capsule polysaccharide biosynthesis protein	-	-	-	ko:K07265	-	-	-	-	ko00000	-	-	-	Capsule_synth
JASLEF010000090.1_2	1111732.AZOD01000010_gene1113	1.26e-196	550.0	COG1294@1|root,COG1294@2|Bacteria,1MURP@1224|Proteobacteria,1RN0N@1236|Gammaproteobacteria,1X35A@135614|Xanthomonadales	135614|Xanthomonadales	C	oxidase, subunit II	-	-	-	-	-	-	-	-	-	-	-	-	Cyt_bd_oxida_II
JASLEF010000090.1_3	1111732.AZOD01000010_gene1112	2.56e-277	763.0	COG1271@1|root,COG1271@2|Bacteria,1MV60@1224|Proteobacteria,1RN2U@1236|Gammaproteobacteria,1X4FJ@135614|Xanthomonadales	135614|Xanthomonadales	C	oxidase, subunit	-	-	-	-	-	-	-	-	-	-	-	-	Cyt_bd_oxida_I
JASLEF010000090.1_15	1111732.AZOD01000010_gene1104	1.09e-252	703.0	COG0534@1|root,COG0534@2|Bacteria,1R4H5@1224|Proteobacteria,1RS0B@1236|Gammaproteobacteria,1XCI3@135614|Xanthomonadales	135614|Xanthomonadales	V	Polysaccharide biosynthesis C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	MatE
JASLEF010000171.1_4	1111732.AZOD01000004_gene1018	3.37e-275	756.0	COG0148@1|root,COG0148@2|Bacteria,1MU1N@1224|Proteobacteria,1RNQA@1236|Gammaproteobacteria,1X2YM@135614|Xanthomonadales	135614|Xanthomonadales	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis	eno	-	4.2.1.11	ko:K01689	ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066	M00001,M00002,M00003,M00346,M00394	R00658	RC00349	ko00000,ko00001,ko00002,ko01000,ko03019,ko04147	-	-	-	Enolase_C,Enolase_N
JASLEF010000097.1_11	1111732.AZOD01000020_gene493	4.44e-117	345.0	COG1496@1|root,COG1496@2|Bacteria,1MW2H@1224|Proteobacteria,1RNV4@1236|Gammaproteobacteria,1X34B@135614|Xanthomonadales	135614|Xanthomonadales	S	Belongs to the multicopper oxidase YfiH RL5 family	-	-	-	ko:K05810	-	-	-	-	ko00000,ko01000	-	-	-	Cu-oxidase_4
JASLEF010000103.1_1	1111732.AZOD01000009_gene1194	0.0	913.0	COG1452@1|root,COG1452@2|Bacteria,1MUJC@1224|Proteobacteria,1RQEX@1236|Gammaproteobacteria,1X3A5@135614|Xanthomonadales	135614|Xanthomonadales	M	Together with LptE, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane	lptD	-	-	ko:K04744	-	-	-	-	ko00000,ko02000	1.B.42.1	-	-	OstA,OstA_C
JASLEF010000149.1_5	1111732.AZOD01000026_gene660	0.0	949.0	COG3278@1|root,COG3278@2|Bacteria,1MU18@1224|Proteobacteria,1RM7I@1236|Gammaproteobacteria,1X3WE@135614|Xanthomonadales	135614|Xanthomonadales	C	Belongs to the heme-copper respiratory oxidase family	-	-	1.9.3.1	ko:K00404	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00156	-	-	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	COX1
JASLEF010000149.1_6	1111732.AZOD01000026_gene659	6.32e-187	520.0	COG2993@1|root,COG2993@2|Bacteria,1MXEY@1224|Proteobacteria,1RPU6@1236|Gammaproteobacteria,1X3EF@135614|Xanthomonadales	135614|Xanthomonadales	C	COG2993 Cbb3-type cytochrome oxidase, cytochrome c subunit	-	-	-	ko:K00405	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00156	-	-	ko00000,ko00001,ko00002	3.D.4.3	-	-	FixO
JASLEF010000149.1_7	1111732.AZOD01000026_gene658	1.06e-34	119.0	2EHQ5@1|root,33BFX@2|Bacteria,1NJW1@1224|Proteobacteria,1SHMS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Cbb3-type cytochrome oxidase component FixQ	-	-	-	-	-	-	-	-	-	-	-	-	FixQ
JASLEF010000149.1_8	1111732.AZOD01000026_gene657	1.81e-214	596.0	COG2010@1|root,COG2010@2|Bacteria,1MUCW@1224|Proteobacteria,1RPYJ@1236|Gammaproteobacteria,1X4SS@135614|Xanthomonadales	135614|Xanthomonadales	C	C-type cytochrome. Part of the cbb3-type cytochrome c oxidase complex	-	-	-	ko:K00406	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00156	-	-	ko00000,ko00001,ko00002	3.D.4.3	-	-	Cytochrome_CBB3,FixP_N
JASLEF010000149.1_13	1111732.AZOD01000026_gene653	1.36e-25	97.4	COG3197@1|root,COG3197@2|Bacteria	2|Bacteria	P	Cytochrome oxidase maturation protein	ccoS	-	-	-	-	-	-	-	-	-	-	-	FixS
JASLEF010000172.1_4	1111732.AZOD01000008_gene12	6.6e-106	310.0	COG2863@1|root,COG2863@2|Bacteria,1RGTS@1224|Proteobacteria,1S6MS@1236|Gammaproteobacteria,1X725@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrom_C
JASLEF010000172.1_5	1111732.AZOD01000008_gene13	9.76e-194	542.0	COG3258@1|root,COG3258@2|Bacteria,1NIQK@1224|Proteobacteria,1RZH1@1236|Gammaproteobacteria,1X5DH@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrome_CBB3
JASLEF010000087.1_6	1111732.AZOD01000017_gene344	4.2e-200	563.0	COG2956@1|root,COG2956@2|Bacteria,1MVDP@1224|Proteobacteria,1RP29@1236|Gammaproteobacteria,1X361@135614|Xanthomonadales	135614|Xanthomonadales	G	Modulates cellular lipopolysaccharide (LPS) levels by regulating LpxC, which is involved in lipid A biosynthesis. May act by modulating the proteolytic activity of FtsH towards LpxC. May also coordinate assembly of proteins involved in LPS synthesis at the plasma membrane	lapB	-	-	ko:K19804	-	-	-	-	ko00000	-	-	-	TPR_16,TPR_7
JASLEF010000142.1_29	1111732.AZOD01000006_gene94	0.0	1395.0	COG0247@1|root,COG0277@1|root,COG0247@2|Bacteria,COG0277@2|Bacteria,1MU6Y@1224|Proteobacteria,1RQX2@1236|Gammaproteobacteria,1X3SQ@135614|Xanthomonadales	135614|Xanthomonadales	C	FAD FMN-containing dehydrogenases	-	-	-	-	-	-	-	-	-	-	-	-	FAD-oxidase_C,FAD_binding_4,Fer4_8
JASLEF010000034.1_3	1111732.AZOD01000031_gene2031	0.0	1439.0	COG0247@1|root,COG0277@1|root,COG0479@1|root,COG0247@2|Bacteria,COG0277@2|Bacteria,COG0479@2|Bacteria,1MU6Y@1224|Proteobacteria,1RQX2@1236|Gammaproteobacteria,1X4KB@135614|Xanthomonadales	135614|Xanthomonadales	C	FAD-linked oxidase	-	-	-	-	-	-	-	-	-	-	-	-	FAD-oxidase_C,FAD_binding_4
JASLEF010000174.1_3	1111732.AZOD01000023_gene1888	2.99e-128	370.0	COG1212@1|root,COG1212@2|Bacteria,1MUUU@1224|Proteobacteria,1RMAE@1236|Gammaproteobacteria,1X3JD@135614|Xanthomonadales	135614|Xanthomonadales	M	Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria	kdsB	-	2.7.7.38	ko:K00979	ko00540,ko01100,map00540,map01100	M00063	R03351,R11396	RC00152,RC00910	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	CTP_transf_3
JASLEF010000168.1_3	1123502.AQXD01000002_gene503	3.93e-11	65.9	COG2980@1|root,COG2980@2|Bacteria	2|Bacteria	M	Together with LptD, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane. Required for the proper assembly of LptD. Binds LPS and may serve as the LPS recognition site at the outer membrane	lptE	GO:0001530,GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006810,GO:0006869,GO:0008150,GO:0008289,GO:0009279,GO:0009987,GO:0010876,GO:0015920,GO:0016020,GO:0016043,GO:0019867,GO:0022607,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0043163,GO:0043165,GO:0044085,GO:0044091,GO:0044462,GO:0044464,GO:0045229,GO:0051179,GO:0051234,GO:0061024,GO:0071702,GO:0071709,GO:0071840,GO:0071944,GO:0097367,GO:1901264	-	ko:K03643	-	-	-	-	ko00000,ko02000	1.B.42.1	-	iECH74115_1262.ECH74115_0730,iECSP_1301.ECSP_0694,iECs_1301.ECs0679,iG2583_1286.G2583_0804,iZ_1308.Z0788	LptE
JASLEF010000166.1_1	1111732.AZOD01000009_gene1174	4.95e-111	333.0	COG1271@1|root,COG1271@2|Bacteria,1MV60@1224|Proteobacteria,1RN2U@1236|Gammaproteobacteria,1X4FJ@135614|Xanthomonadales	135614|Xanthomonadales	C	oxidase, subunit	-	-	1.10.3.14	ko:K00425	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	Cyt_bd_oxida_I
JASLEF010000166.1_2	1111732.AZOD01000009_gene1175	2.65e-153	440.0	COG1294@1|root,COG1294@2|Bacteria,1MURP@1224|Proteobacteria,1RN0N@1236|Gammaproteobacteria,1X35A@135614|Xanthomonadales	135614|Xanthomonadales	C	oxidase, subunit II	cioB	-	1.10.3.14	ko:K00426	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	Cyt_bd_oxida_II
JASLEF010000251.1_3	314271.RB2654_05542	3.36e-65	223.0	COG3563@1|root,COG3563@2|Bacteria,1MW0T@1224|Proteobacteria,2TTAJ@28211|Alphaproteobacteria	28211|Alphaproteobacteria	M	Capsule polysaccharide	kpsC	-	-	ko:K07266	-	-	-	-	ko00000	-	-	-	Capsule_synth
JASLEF010000047.1_13	1111732.AZOD01000029_gene1537	9.13e-188	526.0	COG3258@1|root,COG3258@2|Bacteria,1NIQK@1224|Proteobacteria,1RYGP@1236|Gammaproteobacteria,1X4SI@135614|Xanthomonadales	135614|Xanthomonadales	C	Cytochrome C oxidase, cbb3-type, subunit III	-	-	1.8.2.2	ko:K19713	-	-	-	-	ko00000,ko01000	-	-	-	Cytochrome_CBB3
JASLEF010000046.1_5	1111732.AZOD01000033_gene745	5.12e-82	247.0	COG2128@1|root,COG2128@2|Bacteria,1R5EC@1224|Proteobacteria,1S2VV@1236|Gammaproteobacteria,1X8E6@135614|Xanthomonadales	135614|Xanthomonadales	S	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity	-	-	-	-	-	-	-	-	-	-	-	-	CMD
JASLEF010000049.1_6	1111732.AZOD01000002_gene1855	6.01e-196	546.0	COG2837@1|root,COG2837@2|Bacteria,1MWDD@1224|Proteobacteria,1RMZJ@1236|Gammaproteobacteria,1XCP0@135614|Xanthomonadales	135614|Xanthomonadales	P	Dyp-type peroxidase family	-	-	-	-	-	-	-	-	-	-	-	-	Dyp_perox
JASLEF010000058.1_3	1111732.AZOD01000009_gene1174	1.36e-162	466.0	COG1271@1|root,COG1271@2|Bacteria,1MV60@1224|Proteobacteria,1RN2U@1236|Gammaproteobacteria,1X4FJ@135614|Xanthomonadales	135614|Xanthomonadales	C	oxidase, subunit	-	-	1.10.3.14	ko:K00425	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	Cyt_bd_oxida_I
JASLEF010000064.1_9	1111732.AZOD01000004_gene926	1.41e-289	795.0	COG0635@1|root,COG0635@2|Bacteria,1MV1I@1224|Proteobacteria,1RN1Y@1236|Gammaproteobacteria,1X4K3@135614|Xanthomonadales	135614|Xanthomonadales	H	Belongs to the anaerobic coproporphyrinogen-III oxidase family	-	-	-	-	-	-	-	-	-	-	-	-	HemN_C,Radical_SAM
JASLEF010000110.1_6	1111732.AZOD01000004_gene996	6.59e-98	294.0	COG2908@1|root,COG2908@2|Bacteria,1N3U7@1224|Proteobacteria,1RP1X@1236|Gammaproteobacteria,1X5K2@135614|Xanthomonadales	135614|Xanthomonadales	S	Hydrolyzes the pyrophosphate bond of UDP-2,3- diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxH	-	3.6.1.54	ko:K03269	ko00540,ko01100,map00540,map01100	M00060	R04549	RC00002	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	Metallophos,Metallophos_2
JASLEF010000068.1_25	1111732.AZOD01000017_gene334	8.7e-91	268.0	COG2193@1|root,COG2193@2|Bacteria,1RCW7@1224|Proteobacteria,1S45S@1236|Gammaproteobacteria,1X5YT@135614|Xanthomonadales	135614|Xanthomonadales	P	Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex	bfr	-	1.16.3.1	ko:K03594	ko00860,map00860	-	R00078	RC02758	ko00000,ko00001,ko01000	-	-	-	Ferritin
JASLEF010000068.1_26	1111732.AZOD01000017_gene333	1.38e-97	285.0	COG2193@1|root,COG2193@2|Bacteria,1RD4Y@1224|Proteobacteria,1S40G@1236|Gammaproteobacteria,1X6A9@135614|Xanthomonadales	135614|Xanthomonadales	P	Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex	brf	-	1.16.3.1	ko:K03594	ko00860,map00860	-	R00078	RC02758	ko00000,ko00001,ko01000	-	-	-	Ferritin
JASLEF010000161.1_5	237609.PSAKL28_30990	6.39e-49	163.0	COG3637@1|root,COG3637@2|Bacteria,1RJW3@1224|Proteobacteria,1S77K@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety	pagL	-	-	ko:K12976	-	-	-	-	ko00000,ko01000,ko01005	-	-	-	PagL
