JASLDX010000145.1_6	543728.Vapar_0190	1.87e-53	197.0	COG1529@1|root,COG2010@1|root,COG1529@2|Bacteria,COG2010@2|Bacteria,1MV6D@1224|Proteobacteria,2WHBT@28216|Betaproteobacteria,4AATP@80864|Comamonadaceae	28216|Betaproteobacteria	C	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	-	-	1.17.2.1	ko:K18030	ko00760,ko01120,map00760,map01120	M00622	R09473	RC00589	ko00000,ko00001,ko00002,ko01000	-	-	-	Ald_Xan_dh_C2,Cytochrom_C,Cytochrome_CBB3
JASLDX010000001.1_1	272632.MSC_0263	2.41e-30	123.0	COG0446@1|root,COG0446@2|Bacteria,3WT2T@544448|Tenericutes	544448|Tenericutes	C	nadh oxidase	nox	-	-	-	-	-	-	-	-	-	-	-	Pyr_redox_2,Pyr_redox_dim
JASLDX010000001.1_4	1111732.AZOD01000002_gene1855	3.07e-96	287.0	COG2837@1|root,COG2837@2|Bacteria,1MWDD@1224|Proteobacteria,1RMZJ@1236|Gammaproteobacteria,1XCP0@135614|Xanthomonadales	135614|Xanthomonadales	P	Dyp-type peroxidase family	-	-	-	-	-	-	-	-	-	-	-	-	Dyp_perox
JASLDX010000125.1_1	1111732.AZOD01000002_gene1855	9.98e-145	412.0	COG2837@1|root,COG2837@2|Bacteria,1MWDD@1224|Proteobacteria,1RMZJ@1236|Gammaproteobacteria,1XCP0@135614|Xanthomonadales	135614|Xanthomonadales	P	Dyp-type peroxidase family	-	-	-	-	-	-	-	-	-	-	-	-	Dyp_perox
JASLDX010000243.1_1	1111732.AZOD01000018_gene274	2.39e-49	167.0	COG3524@1|root,COG3524@2|Bacteria,1R3ZY@1224|Proteobacteria,1RPZH@1236|Gammaproteobacteria,1X83N@135614|Xanthomonadales	135614|Xanthomonadales	M	COG3524 Capsule polysaccharide export protein	-	-	-	ko:K10107	ko02010,map02010	M00249	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.101	-	-	-
JASLDX010000243.1_2	1111732.AZOD01000018_gene275	5.02e-144	425.0	COG3562@1|root,COG3562@2|Bacteria,1MUZT@1224|Proteobacteria,1RRSW@1236|Gammaproteobacteria,1X6ZD@135614|Xanthomonadales	135614|Xanthomonadales	M	Capsule polysaccharide biosynthesis protein	-	-	-	ko:K07265	-	-	-	-	ko00000	-	-	-	Capsule_synth
JASLDX010000100.1_7	1111732.AZOD01000006_gene94	0.0	1364.0	COG0247@1|root,COG0277@1|root,COG0247@2|Bacteria,COG0277@2|Bacteria,1MU6Y@1224|Proteobacteria,1RQX2@1236|Gammaproteobacteria,1X3SQ@135614|Xanthomonadales	135614|Xanthomonadales	C	FAD FMN-containing dehydrogenases	-	-	-	-	-	-	-	-	-	-	-	-	FAD-oxidase_C,FAD_binding_4,Fer4_8
JASLDX010000211.1_3	1111732.AZOD01000018_gene311	3.74e-176	498.0	COG0859@1|root,COG0859@2|Bacteria,1MYZA@1224|Proteobacteria,1RPMN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	lipopolysaccharide heptosyltransferase I	rfaC	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0008713,GO:0008920,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016740,GO:0016757,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0046401,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	-	ko:K02841	ko00540,ko01100,map00540,map01100	M00080	-	-	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005	-	GT9	iB21_1397.B21_03429,iECBD_1354.ECBD_0105,iECB_1328.ECB_03478,iECD_1391.ECD_03478,iECNA114_1301.ECNA114_3774,iECSF_1327.ECSF_3456,iSF_1195.SF3661,iS_1188.S4107	Glyco_transf_9
JASLDX010000027.1_14	675812.VHA_003135	4.15e-51	173.0	COG2908@1|root,COG2908@2|Bacteria,1N3U7@1224|Proteobacteria,1RP1X@1236|Gammaproteobacteria,1XSQ8@135623|Vibrionales	135623|Vibrionales	S	Hydrolyzes the pyrophosphate bond of UDP-2,3- diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell	lpxH	-	3.6.1.54	ko:K03269	ko00540,ko01100,map00540,map01100	M00060	R04549	RC00002	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	Metallophos,Metallophos_2
JASLDX010000104.1_3	1111732.AZOD01000018_gene275	4.6e-148	436.0	COG3562@1|root,COG3562@2|Bacteria,1MUZT@1224|Proteobacteria,1RRSW@1236|Gammaproteobacteria,1X6ZD@135614|Xanthomonadales	135614|Xanthomonadales	M	Capsule polysaccharide biosynthesis protein	-	-	-	ko:K07265	-	-	-	-	ko00000	-	-	-	Capsule_synth
JASLDX010000104.1_4	1111732.AZOD01000018_gene274	7.55e-143	416.0	COG3524@1|root,COG3524@2|Bacteria,1R3ZY@1224|Proteobacteria,1RPZH@1236|Gammaproteobacteria,1X83N@135614|Xanthomonadales	135614|Xanthomonadales	M	COG3524 Capsule polysaccharide export protein	-	-	-	ko:K10107	ko02010,map02010	M00249	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.101	-	-	-
