Gene_ID	Length	Start_Position	End_Position
1MVCS	541	0	540
1RMBG	541	541	1081
1RD24	238	1082	1319
1RR11	238	1320	1557
1X4WB	238	1558	1795
1MVUN	258	1796	2053
1RNBU	258	2054	2311
COG3956	295	2312	2606
1MVKM	295	2607	2901
1MU8M	241	2902	3142
1RPW1	241	3143	3383
1X31A	241	3384	3624
1X41G	478	3625	4102
1MUG1	363	4103	4465
1RMDH	363	4466	4828
1X4NV	363	4829	5191
1RH6H	240	5192	5431
1S41D	240	5432	5671
1MUFJ	218	5672	5889
1RPF6	218	5890	6107
1RMDS	1216	6108	7323
2EHQ5	77	7324	7400
33BFX	77	7401	7477
1NJW1	77	7478	7554
1SHMS	77	7555	7631
1MXEY	276	7632	7907
1RPU6	276	7908	8183
1X3EF	276	8184	8459
1MUFZ	853	8460	9312
1RNZ2	853	9313	10165
1X3EQ	853	10166	11018
1MVH4	289	11019	11307
1RPB7	289	11308	11596
1MV61	658	11597	12254
1RM89	658	12255	12912
1X4XY	658	12913	13570
1MUCM	292	13571	13862
1RNH9	292	13863	14154
1X41F	292	14155	14446
1MVII	266	14447	14712
1MUGQ	481	14713	15193
1RMD1	481	15194	15674
1MUN1	234	15675	15908
1RMWC	234	15909	16142
1X3NC	234	16143	16376
1MVDU	341	16377	16717
1RR7D	341	16718	17058
1X4V4	341	17059	17399
1MVNI	304	17400	17703
1RMZ5	304	17704	18007
