mag_id,module_id,module_name,completeness,present_genes,missing_genes
GCA_030146865.1_ASM3014686v1,Glycolysis,Glycolysis (core pathway),0.5,"K00134,K01810,K01803","K01623,K00844,K00850"
GCA_030146865.1_ASM3014686v1,TCA_cycle,Citrate cycle (TCA cycle),0.5,"K01647,K00164,K00658","K01902,K01681,K01903"
GCA_030146865.1_ASM3014686v1,PPP_oxidative,Pentose phosphate pathway (oxidative),0.0,,"K00036,K00033,K01057"
GCA_030146865.1_ASM3014686v1,PPP_non_oxidative,Pentose phosphate pathway (non-oxidative),0.6666666666666666,"K01783,K01807",K00615
GCA_030146865.1_ASM3014686v1,Fatty_acid_biosynthesis,Fatty acid biosynthesis,0.75,"K00648,K02078,K00059",K00668
GCA_030146865.1_ASM3014686v1,Amino_acid_biosynthesis,Amino acid biosynthesis (core),0.5,"K01586,K01915","K00928,K00133"
GCA_030146865.1_ASM3014686v1,Purine_biosynthesis,Purine biosynthesis,0.5,"K01945,K01589","K00764,K00602"
GCA_030146865.1_ASM3014686v1,Pyrimidine_biosynthesis,Pyrimidine biosynthesis,0.5,"K00940,K01465","K00762,K00609"
GCA_030146865.1_ASM3014686v1,Oxidative_phosphorylation,Oxidative phosphorylation (Complex I),1.0,"K00333,K00330,K00332,K00331",
GCA_030146865.1_ASM3014686v1,ATP_synthase,ATP synthase,0.0,,"K02108,K02111,K02115,K02112"
GCA_030146865.1_ASM3014686v1,Riboflavin_biosynthesis,Riboflavin biosynthesis,0.5,"K00793,K00794","K00082,K00861"
GCA_030146865.1_ASM3014686v1,Folate_biosynthesis,Folate biosynthesis,0.75,"K00796,K00950,K00287",K01495
GCA_030146865.1_ASM3014686v1,Biotin_biosynthesis,Biotin biosynthesis,0.25,K01935,"K00833,K00652,K00060"
GCA_030146865.1_ASM3014686v1,Cobalamin_biosynthesis,Cobalamin biosynthesis,0.0,,"K02191,K02189,K02190,K00595"
GCA_030146865.1_ASM3014686v1,Nitrogen_metabolism,Nitrogen metabolism,0.25,K01915,"K00362,K01916,K00363"
GCA_030146865.1_ASM3014686v1,Sulfur_metabolism,Sulfur metabolism,0.0,,"K00380,K01011,K00392,K00381"
GCA_030146865.1_ASM3014686v1,Cell_wall_biosynthesis,Peptidoglycan biosynthesis,0.75,"K01000,K01921,K02563",K05364
GCA_030146865.1_ASM3014686v1,DNA_replication,DNA replication,0.75,"K02342,K02314,K03469",K02315
GCA_030146865.1_ASM3014686v1,Transcription,RNA polymerase,0.5,"K03046,K03043","K03040,K03041"
GCA_046462275.1_ASM4646227v1,Glycolysis,Glycolysis (core pathway),0.3333333333333333,"K01810,K00134","K01623,K00844,K00850,K01803"
GCA_046462275.1_ASM4646227v1,TCA_cycle,Citrate cycle (TCA cycle),0.5,"K01647,K00164,K00658","K01902,K01681,K01903"
GCA_046462275.1_ASM4646227v1,PPP_oxidative,Pentose phosphate pathway (oxidative),0.0,,"K00036,K00033,K01057"
GCA_046462275.1_ASM4646227v1,PPP_non_oxidative,Pentose phosphate pathway (non-oxidative),0.6666666666666666,"K01783,K01807",K00615
GCA_046462275.1_ASM4646227v1,Fatty_acid_biosynthesis,Fatty acid biosynthesis,0.5,"K02078,K00059","K00648,K00668"
GCA_046462275.1_ASM4646227v1,Amino_acid_biosynthesis,Amino acid biosynthesis (core),0.5,"K01586,K01915","K00928,K00133"
GCA_046462275.1_ASM4646227v1,Purine_biosynthesis,Purine biosynthesis,0.75,"K01945,K00764,K00602",K01589
GCA_046462275.1_ASM4646227v1,Pyrimidine_biosynthesis,Pyrimidine biosynthesis,0.5,"K00762,K00940","K00609,K01465"
GCA_046462275.1_ASM4646227v1,Oxidative_phosphorylation,Oxidative phosphorylation (Complex I),1.0,"K00333,K00330,K00332,K00331",
GCA_046462275.1_ASM4646227v1,ATP_synthase,ATP synthase,1.0,"K02111,K02108,K02115,K02112",
GCA_046462275.1_ASM4646227v1,Riboflavin_biosynthesis,Riboflavin biosynthesis,0.5,"K00793,K00794","K00082,K00861"
GCA_046462275.1_ASM4646227v1,Folate_biosynthesis,Folate biosynthesis,0.75,"K00796,K00950,K00287",K01495
GCA_046462275.1_ASM4646227v1,Biotin_biosynthesis,Biotin biosynthesis,0.25,K00833,"K00652,K01935,K00060"
GCA_046462275.1_ASM4646227v1,Cobalamin_biosynthesis,Cobalamin biosynthesis,0.0,,"K02191,K02189,K02190,K00595"
GCA_046462275.1_ASM4646227v1,Nitrogen_metabolism,Nitrogen metabolism,0.25,K01915,"K00362,K01916,K00363"
GCA_046462275.1_ASM4646227v1,Sulfur_metabolism,Sulfur metabolism,0.25,K01011,"K00380,K00392,K00381"
GCA_046462275.1_ASM4646227v1,Cell_wall_biosynthesis,Peptidoglycan biosynthesis,0.5,"K01921,K02563","K05364,K01000"
GCA_046462275.1_ASM4646227v1,DNA_replication,DNA replication,0.75,"K02342,K02314,K03469",K02315
GCA_046462275.1_ASM4646227v1,Transcription,RNA polymerase,0.75,"K03040,K03046,K03043",K03041
GCA_030153165.1_ASM3015316v1,Glycolysis,Glycolysis (core pathway),0.5,"K00134,K01810,K01803","K01623,K00844,K00850"
GCA_030153165.1_ASM3015316v1,TCA_cycle,Citrate cycle (TCA cycle),0.5,"K01647,K00164,K00658","K01902,K01681,K01903"
GCA_030153165.1_ASM3015316v1,PPP_oxidative,Pentose phosphate pathway (oxidative),0.0,,"K00036,K00033,K01057"
GCA_030153165.1_ASM3015316v1,PPP_non_oxidative,Pentose phosphate pathway (non-oxidative),0.3333333333333333,K01807,"K01783,K00615"
