ortholog_group,category,presence_count,present_in_mags
COG0137,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0737,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG2239,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0604,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0425,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0741,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0494,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0477,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0617,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG4942,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0280,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0568,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1249,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0009,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG1464,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0537,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0251,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0354,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0625,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0787,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0790,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0782,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0304,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
COG0578,core,9,"GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1"
