gene_family,presence_count,category,annotation
COG0137,9.0,common,Belongs to the argininosuccinate synthase family. Type 1 subfamily
COG0737,9.0,common,"5'-nucleotidase, C-terminal domain"
COG2239,9.0,common,Acts as a magnesium transporter
COG0604,9.0,common,Quinone oxidoreductase
COG0425,9.0,common,Belongs to the sulfur carrier protein TusA family
COG0741,9.0,common,Lytic murein transglycosylase
COG0494,9.0,common,Belongs to the Nudix hydrolase family
COG0477,9.0,common,Major facilitator superfamily
COG0617,9.0,common,"Adds poly(A) tail to the 3' end of many RNAs, which usually targets these RNAs for decay. Plays a significant role in the global control of gene expression, through influencing the rate of transcript degradation, and in the general RNA quality control"
COG4942,9.0,common,membrane
COG0280,9.0,common,Malic enzyme
COG0568,9.0,common,RNA polymerase sigma factor RpoH
COG1249,9.0,common,Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
COG0009,9.0,common,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Catalyzes the conversion of L-threonine, HCO(3)(-) CO(2) and ATP to give threonylcarbamoyl-AMP (TC-AMP) as the acyladenylate intermediate, with the release of diphosphate"
COG1464,9.0,common,Belongs to the nlpA lipoprotein family
COG0537,9.0,common,Histidine triad (HIT) protein
COG0251,9.0,common,endoribonuclease
COG0354,9.0,common,Belongs to the GcvT family
COG0625,9.0,common,Glutathione S-transferase
COG0787,9.0,common,Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids
COG0790,9.0,common,beta-lactamase activity
COG0782,9.0,common,"Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreB releases sequences of up to 9 nucleotides in length"
COG0304,9.0,common,Belongs to the beta-ketoacyl-ACP synthases family
COG0578,9.0,common,Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family
COG0554,9.0,common,Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate
COG3258,9.0,common,"Cytochrome C oxidase, cbb3-type, subunit III"
COG2863,9.0,common,"Cytochrome C oxidase, cbb3-type, subunit III"
COG1132,9.0,common,(ABC) transporter
COG0351,9.0,common,Phosphomethylpyrimidine kinase
COG0265,9.0,common,Belongs to the peptidase S1C family
COG0635,9.0,common,Involved in the biosynthesis of porphyrin-containing compound
COG0187,9.0,common,Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule
COG2974,9.0,common,May be involved in recombination
